freq	dBm(fashef)
2.52545454545454584E10	-9.71389209326641279E1
2.52563636363636324E10	-1.00460840043975241E2
2.52581818181818196E10	-9.28237316915001465E1
2.52599999999999980E10	-8.80967836851851871E1
2.52618181818181764E10	-8.64668016274566220E1
2.52636363636363681E10	-9.84266048468310473E1
2.52654545454545376E10	-9.10245089759751025E1
2.52672727272727293E10	-9.28663243197521204E1
2.52690909090909077E10	-1.00097337171979839E2
2.52709090909090905E10	-8.87744295114578996E1
2.52727272727272689E10	-8.90591736580737958E1
2.52745454545454606E10	-9.32534420814103449E1
2.52763636363636301E10	-1.02120451678542112E2
2.52781818181818219E10	-8.59945357957085221E1
2.52800000000000002E10	-8.63688127164992636E1
2.52818181818181831E10	-9.79562461498415793E1
2.52836363636363703E10	-9.00363813071497532E1
2.52854545454545399E10	-8.71450506552040771E1
2.52872727272727271E10	-8.78751972511859414E1
2.52890909090909100E10	-8.51826273921096089E1
2.52909090909090883E10	-8.69969975302762144E1
2.52927272727272712E10	-9.47809471095906275E1
2.52945454545454584E10	-9.85524530051046277E1
2.52963636363636279E10	-9.16926503717476571E1
2.52981818181818197E10	-1.04749344456889437E2
2.53000000000000025E10	-9.28545706099431811E1
2.53018181818181809E10	-8.56843443481655775E1
2.53036363636363681E10	-8.85771050810051896E1
2.53054545454545421E10	-9.12508460197443938E1
2.53072727272727294E10	-9.93024187668640579E1
2.53090909090909078E10	-9.52683701166412256E1
2.53109090909090906E10	-8.80258826157312768E1
2.53127272727272690E10	-9.02169761099799139E1
2.53145454545454607E10	-9.25675312341937584E1
2.53163636363636302E10	-8.60356555752665919E1
2.53181818181818219E10	-8.94398791621884826E1
2.53200000000000003E10	-1.01157740307181543E2
2.53218181818181787E10	-9.85701586431867938E1
2.53236363636363704E10	-9.48536519815723977E1
2.53254545454545399E10	-9.08462531294659215E1
2.53272727272727316E10	-9.06824599391291564E1
2.53290909090909100E10	-9.05466594788211054E1
2.53309090909090928E10	-9.38716746722136719E1
2.53327272727272712E10	-9.95250163734329973E1
2.53345454545454585E10	-1.02999838438909008E2
2.53363636363636324E10	-9.17400671722470307E1
2.53381818181818197E10	-8.80211031618962991E1
2.53399999999999981E10	-8.90521045508735121E1
2.53418181818181809E10	-8.98936706064402635E1
2.53436363636363726E10	-1.18931069541712020E2
2.53454545454545421E10	-8.82198009409803241E1
2.53472727272727294E10	-9.04820060436080453E1
2.53490909090909122E10	-9.54711025134912816E1
2.53509090909090906E10	-8.43155956952872465E1
2.53527272727272734E10	-1.04002484207610180E2
2.53545454545454607E10	-8.46185569399535531E1
2.53563636363636302E10	-8.75167530005812644E1
2.53581818181818175E10	-1.01465908969580476E2
2.53600000000000003E10	-1.00805488522025644E2
2.53618181818181787E10	-8.92124916681069635E1
2.53636363636363660E10	-9.69048793164918543E1
2.53654545454545399E10	-9.04149353979219050E1
2.53672727272727272E10	-9.09899002914584543E1
2.53690909090909056E10	-1.04035307043479786E2
2.53709090909090884E10	-8.75857056214071861E1
