freq	delay(2,1)
3.01360000000000028E10	1.95829362135305818E-12
3.01370000000000005E10	1.95886094885735451E-12
3.01379999999999981E10	1.95942852700444492E-12
3.01390000000000002E10	1.95999635523604843E-12
3.01399999999999979E10	1.96056443421849669E-12
3.01410000000000000E10	1.96113276342996223E-12
3.01419999999999977E10	1.96170134348295000E-12
3.01429999999999998E10	1.96227017496725109E-12
3.01439999999999975E10	1.96283925716164021E-12
3.01449999999999996E10	1.96340858994370260E-12
3.01459999999999972E10	1.96397817446299872E-12
3.01469999999999994E10	1.96454801043209626E-12
3.01480000000000015E10	1.96511809818039795E-12
3.01489999999999991E10	1.96568843757341827E-12
3.01499999999999968E10	1.96625902883976189E-12
3.01509999999999989E10	1.96682987205097248E-12
3.01519999999999966E10	1.96740096764551287E-12
3.01530000000000031E10	1.96797231562210717E-12
3.01540000000000052E10	1.96854391566538611E-12
3.01550000000000029E10	1.96911576886593354E-12
3.01560000000000006E10	1.96968787484408359E-12
3.01569999999999983E10	1.97026023391058303E-12
3.01580000000000048E10	1.97083284562530103E-12
3.01590000000000025E10	1.97140571071715032E-12
3.01600000000000046E10	1.97197882941198332E-12
3.01610000000000023E10	1.97255220168597178E-12
3.01619999999999999E10	1.97312582745333143E-12
3.01630000000000020E10	1.97369970746397483E-12
3.01639999999999997E10	1.97427384117105520E-12
3.01649999999999974E10	1.97484822918554515E-12
3.01659999999999950E10	1.97542287125653115E-12
3.01669999999999927E10	1.97599776792562687E-12
3.01679999999999993E10	1.97657291937794133E-12
3.01690000000000014E10	1.97714832518588723E-12
3.01699999999999990E10	1.97772398614550626E-12
3.01710000000000012E10	1.97829990222282093E-12
3.01719999999999988E10	1.97887607340785587E-12
3.01730000000000009E10	1.97945249990302763E-12
3.01739999999999986E10	1.98002918213961854E-12
3.01750000000000007E10	1.98060611975043455E-12
3.01759999999999984E10	1.98118331361843558E-12
3.01770000000000005E10	1.98176076303881232E-12
3.01780000000000026E10	1.98233846839078875E-12
3.01790000000000003E10	1.98291643047799115E-12
3.01799999999999979E10	1.98349464839669842E-12
3.01810000000000000E10	1.98407312286427695E-12
3.01819999999999977E10	1.98465185515303788E-12
3.01830000000000043E10	1.98523084313564913E-12
3.01840000000000064E10	1.98581008871711462E-12
3.01850000000000041E10	1.98638959186053365E-12
3.01860000000000017E10	1.98696935187211454E-12
3.01869999999999994E10	1.98754936963902318E-12
3.01879999999999971E10	1.98812964437780204E-12
3.01889999999999992E10	1.98871017692574115E-12
3.01899999999999968E10	1.98929096822288320E-12
3.01909999999999945E10	1.98987201688772264E-12
3.01919999999999966E10	1.99045332391605845E-12
3.01930000000000032E10	1.99103488975385590E-12
3.01940000000000008E10	1.99161671356446779E-12
3.01949999999999985E10	1.99219879649071507E-12
3.01959999999999962E10	1.99278113815085867E-12
3.01969999999999938E10	1.99336373914847598E-12
3.01980000000000004E10	1.99394659897136961E-12
3.01990000000000025E10	1.99452971795146405E-12
3.02000000000000002E10	1.99511309642977586E-12
3.02010000000000023E10	1.99569673507669409E-12
3.02020000000000000E10	1.99628063318022519E-12
3.02030000000000021E10	1.99686479118852578E-12
3.02039999999999997E10	1.99744920926760128E-12
3.02050000000000018E10	1.99803388755864963E-12
3.02059999999999995E10	1.99861882670007729E-12
3.02070000000000016E10	1.99920402620342674E-12
3.02080000000000037E10	1.99978948568778669E-12
3.02090000000000014E10	2.00037520755065579E-12
3.02099999999999991E10	2.00096118877827678E-12
3.02110000000000012E10	2.00154743186654560E-12
3.02119999999999989E10	2.00213393650564875E-12
3.02130000000000010E10	2.00272070247645573E-12
3.02139999999999986E10	2.00330772991974060E-12
3.02149999999999963E10	2.00389501918897128E-12
3.02159999999999984E10	2.00448257058625634E-12
3.02169999999999961E10	2.00507038410938643E-12
3.02179999999999982E10	2.00565845951065347E-12
3.02190000000000003E10	2.00624679760154390E-12
3.02199999999999980E10	2.00683539854052118E-12
3.02209999999999956E10	2.00742426165278509E-12
3.02219999999999978E10	2.00801338789919992E-12
3.02230000000000043E10	2.00860277750134619E-12
3.02240000000000020E10	2.00919242996863456E-12
3.02249999999999996E10	2.00978234615177254E-12
3.02259999999999973E10	2.01037252516381448E-12
3.02269999999999950E10	2.01096296814682063E-12
3.02280000000000015E10	2.01155367585114231E-12
3.02290000000000036E10	2.01214464695753703E-12
3.02300000000000013E10	2.01273588178618557E-12
3.02310000000000034E10	2.01332738130416189E-12
3.02320000000000011E10	2.01391914509782710E-12
3.02330000000000032E10	2.01451117352691123E-12
3.02340000000000009E10	2.01510346688653730E-12
3.02350000000000030E10	2.01569602478211829E-12
3.02360000000000007E10	2.01628884831083210E-12
3.02370000000000028E10	2.01688193691315076E-12
3.02380000000000004E10	2.01747529055959118E-12
3.02389999999999981E10	2.01806891026807422E-12
3.02400000000000002E10	2.01866279550549654E-12
3.02409999999999979E10	2.01925694666643052E-12
3.02419999999999956E10	2.01985136368628559E-12
3.02430000000000021E10	2.02044604692302832E-12
3.02439999999999998E10	2.02104099693618133E-12
3.02449999999999974E10	2.02163621344157862E-12
3.02459999999999996E10	2.02223169613853493E-12
3.02469999999999972E10	2.02282744606694420E-12
3.02479999999999993E10	2.02342346280211371E-12
3.02490000000000014E10	2.02401974684908437E-12
3.02499999999999991E10	2.02461629838813728E-12
3.02509999999999968E10	2.02521311689861339E-12
3.02519999999999989E10	2.02581020343592222E-12
3.02530000000000054E10	2.02640755765591862E-12
3.02540000000000031E10	2.02700517969341520E-12
3.02550000000000008E10	2.02760307027229869E-12
3.02559999999999985E10	2.02820122846857620E-12
3.02569999999999961E10	2.02879965541536400E-12
3.02580000000000027E10	2.02939835123780288E-12
3.02590000000000048E10	2.02999731575748532E-12
3.02600000000000025E10	2.03059654908389886E-12
3.02610000000000046E10	2.03119605143660698E-12
3.02620000000000022E10	2.03179582284059812E-12
3.02629999999999999E10	2.03239586430600827E-12
3.02639999999999976E10	2.03299617484724671E-12
3.02649999999999952E10	2.03359675484424418E-12
3.02659999999999973E10	2.03419760548035899E-12
3.02669999999999950E10	2.03479872566666486E-12
3.02680000000000016E10	2.03540011602202675E-12
