freq	dBm(hunpinf)
1.27272727272727249E8	-6.38286207585384080E1
1.29090909090909101E8	-5.53800582992195167E1
1.30909090909090908E8	-5.61758721409512951E1
1.32727272727272694E8	-6.74126039809447342E1
1.34545454545454524E8	-6.35661471452689586E1
1.36363636363636354E8	-6.05052683526441903E1
1.38181818181818183E8	-6.82644043336486739E1
1.39999999999999991E8	-6.78458767226188542E1
1.41818181818181821E8	-6.40719025666952025E1
1.43636363636363629E8	-7.17834940043859326E1
1.45454545454545436E8	-6.50111049263107077E1
1.47272727272727311E8	-6.15105844009625891E1
1.49090909090909118E8	-6.63248446899992850E1
1.50909090909090882E8	-7.26000354204296894E1
1.52727272727272689E8	-6.38466701666314940E1
1.54545454545454541E8	-6.43479000974022775E1
1.56363636363636349E8	-7.63971975615298327E1
1.58181818181818179E8	-6.27402318505462375E1
1.60000000000000009E8	-5.98965874478197868E1
1.61818181818181794E8	-6.42266648777462557E1
1.63636363636363624E8	-6.97793834535309720E1
1.65454545454545432E8	-6.28918247468548763E1
1.67272727272727262E8	-6.32665125537977069E1
1.69090909090909136E8	-7.59252543403998459E1
1.70909090909090855E8	-6.78928454709090623E1
1.72727272727272729E8	-6.57172554950119814E1
1.74545454545454537E8	-7.46984843760824013E1
1.76363636363636322E8	-7.20382571755302870E1
1.78181818181818197E8	-7.10686560319887484E1
1.80000000000000004E8	-7.91946021750424922E1
1.81818181818181790E8	-7.22938325862731546E1
1.83636363636363598E8	-7.00172698713504360E1
1.85454545454545427E8	-7.28661773698505577E1
1.87272727272727257E8	-8.25839452365094395E1
1.89090909090909132E8	-7.26739118860398747E1
1.90909090909090873E8	-7.18288943679059155E1
1.92727272727272725E8	-8.02369019195746880E1
1.94545454545454533E8	-8.38642943501256255E1
1.96363636363636340E8	-7.91265860740776539E1
1.98181818181818192E8	-7.85255931168866361E1
2.00000000000000000E8	-7.61064282135392567E1
2.01818181818181808E8	-7.71646878440918460E1
2.03636363636363615E8	-7.89233880656598075E1
2.05454545454545423E8	-7.56988494913389598E1
2.07272727272727320E8	-7.57966604342898442E1
2.09090909090909083E8	-8.02146470328688821E1
2.10909090909090891E8	-7.68545360153785317E1
2.12727272727272743E8	-7.72236815080716799E1
2.14545454545454506E8	-8.28312465978725498E1
2.16363636363636314E8	-7.96795143030351305E1
2.18181818181818210E8	-7.78520790553049569E1
2.20000000000000018E8	-8.57836889390746826E1
2.21818181818181781E8	-8.74900213967584151E1
2.23636363636363589E8	-8.14584057852982291E1
