freq	dB(S(2,1))
3.00550000000000006E10	-1.94045595728405651E2
3.00560000000000027E10	-1.94035699669573769E2
3.00570000000000004E10	-1.94025802393259039E2
3.00580000000000025E10	-1.94015903899088182E2
3.00590000000000046E10	-1.94006004186687875E2
3.00600000000000023E10	-1.93996103255684527E2
3.00609999999999999E10	-1.93986201105704525E2
3.00620000000000021E10	-1.93976297736374015E2
3.00629999999999997E10	-1.93966393147318894E2
3.00640000000000018E10	-1.93956487338165040E2
3.00649999999999995E10	-1.93946580308538219E2
3.00659999999999972E10	-1.93936672058063775E2
3.00669999999999948E10	-1.93926762586367119E2
3.00680000000000014E10	-1.93916851893073483E2
3.00689999999999991E10	-1.93906939977807835E2
3.00700000000000012E10	-1.93897026840195008E2
3.00709999999999988E10	-1.93887112479859769E2
3.00719999999999965E10	-1.93877196896426551E2
3.00729999999999986E10	-1.93867280089519811E2
3.00740000000000007E10	-1.93857362058763738E2
3.00749999999999984E10	-1.93847442803782366E2
3.00760000000000005E10	-1.93837522324199552E2
3.00769999999999982E10	-1.93827600619639151E2
3.00780000000000047E10	-1.93817677689724510E2
3.00790000000000024E10	-1.93807753534079152E2
3.00800000000000001E10	-1.93797828152326379E2
3.00809999999999977E10	-1.93787901544089114E2
3.00819999999999999E10	-1.93777973708990325E2
3.00830000000000064E10	-1.93768044646652804E2
3.00840000000000041E10	-1.93758114356699052E2
3.00850000000000017E10	-1.93748182838751548E2
3.00860000000000039E10	-1.93738250092432551E2
3.00870000000000015E10	-1.93728316117364119E2
3.00879999999999992E10	-1.93718380913168176E2
3.00889999999999969E10	-1.93708444479466513E2
3.00899999999999945E10	-1.93698506815880722E2
3.00909999999999966E10	-1.93688567922032218E2
3.00919999999999943E10	-1.93678627797542324E2
3.00930000000000009E10	-1.93668686442032123E2
3.00940000000000030E10	-1.93658743855122539E2
3.00950000000000006E10	-1.93648800036434388E2
3.00959999999999983E10	-1.93638854985588260E2
3.00969999999999960E10	-1.93628908702204638E2
3.00980000000000025E10	-1.93618961185903804E2
3.00990000000000002E10	-1.93609012436305794E2
3.01000000000000023E10	-1.93599062453030690E2
3.01010000000000000E10	-1.93589111235698264E2
3.01019999999999976E10	-1.93579158783928085E2
3.01029999999999998E10	-1.93569205097339703E2
3.01040000000000019E10	-1.93559250175552289E2
3.01049999999999995E10	-1.93549294018185014E2
3.01060000000000016E10	-1.93539336624857006E2
3.01069999999999993E10	-1.93529377995186858E2
3.01080000000000059E10	-1.93519418128793319E2
3.01090000000000035E10	-1.93509457025294873E2
3.01100000000000012E10	-1.93499494684309736E2
3.01109999999999989E10	-1.93489531105456081E2
3.01120000000000010E10	-1.93479566288351990E2
3.01129999999999987E10	-1.93469600232615169E2
3.01139999999999963E10	-1.93459632937863235E2
3.01149999999999984E10	-1.93449664403713695E2
3.01159999999999961E10	-1.93439694629783920E2
3.01169999999999982E10	-1.93429723615690952E2
3.01180000000000003E10	-1.93419751361051828E2
3.01189999999999980E10	-1.93409777865483390E2
3.01199999999999957E10	-1.93399803128602232E2
3.01209999999999978E10	-1.93389827150024862E2
3.01219999999999954E10	-1.93379849929367542E2
3.01230000000000020E10	-1.93369871466246446E2
3.01240000000000041E10	-1.93359891760277591E2
3.01250000000000018E10	-1.93349910811076708E2
3.01259999999999994E10	-1.93339928618259438E2
3.01269999999999971E10	-1.93329945181441376E2
3.01280000000000037E10	-1.93319960500237720E2
3.01290000000000013E10	-1.93309974574263599E2
3.01300000000000034E10	-1.93299987403134077E2
3.01310000000000011E10	-1.93289998986463907E2
3.01319999999999988E10	-1.93280009323867685E2
3.01330000000000009E10	-1.93270018414959965E2
3.01340000000000030E10	-1.93260026259355011E2
3.01350000000000007E10	-1.93250032856666865E2
3.01360000000000028E10	-1.93240038206509657E2
3.01370000000000005E10	-1.93230042308497052E2
