freq	dBm(outm1f)
2.51036363636363680E10	-9.02880453251414394E1
2.51054545454545419E10	-9.58882260593512115E1
2.51072727272727292E10	-8.77474577607151751E1
2.51090909090909076E10	-8.64730654849456215E1
2.51109090909090904E10	-1.01034982717237143E2
2.51127272727272688E10	-9.44414502563941305E1
2.51145454545454561E10	-9.73901944451737478E1
2.51163636363636300E10	-8.49658030468881442E1
2.51181818181818173E10	-8.91789614731832003E1
2.51199999999999957E10	-9.15394274935232488E1
2.51218181818181785E10	-1.08680094247371661E2
2.51236363636363702E10	-9.14245017980533881E1
2.51254545454545397E10	-9.65955140107978849E1
2.51272727272727314E10	-9.10751761058341458E1
2.51290909090909143E10	-1.00676056764514432E2
2.51309090909090926E10	-9.86998510934621542E1
2.51327272727272710E10	-9.03121423661927203E1
2.51345454545454583E10	-9.40146439869171857E1
2.51363636363636322E10	-9.33498174591965757E1
2.51381818181818195E10	-9.04856765178921130E1
2.51400000000000023E10	-9.43476755730011796E1
2.51418181818181807E10	-9.14328911238026087E1
2.51436363636363680E10	-9.17076207991216030E1
2.51454545454545420E10	-1.01251258929071164E2
2.51472727272727292E10	-9.39914459293817650E1
2.51490909090909076E10	-9.63302953990999988E1
2.51509090909090904E10	-8.92239870936336743E1
2.51527272727272688E10	-8.92422880142167685E1
2.51545454545454605E10	-8.47934888839871448E1
2.51563636363636300E10	-8.48402066022705625E1
2.51581818181818218E10	-8.90526957362914828E1
2.51600000000000001E10	-9.79337812664759966E1
2.51618181818181785E10	-9.80326839882367551E1
2.51636363636363658E10	-9.86221565689677959E1
2.51654545454545397E10	-9.24415946261999011E1
2.51672727272727270E10	-9.49629093032317506E1
2.51690909090909098E10	-9.28291853494028452E1
2.51709090909090882E10	-1.01453373487922560E2
2.51727272727272666E10	-8.94188851884161195E1
2.51745454545454583E10	-9.50220074267684645E1
2.51763636363636278E10	-9.17098763645549298E1
2.51781818181818196E10	-9.26541385536492967E1
2.51799999999999979E10	-9.64162897507660510E1
2.51818181818181808E10	-8.80375710778813136E1
2.51836363636363725E10	-8.93545203652765707E1
2.51854545454545420E10	-9.67739458502826189E1
2.51872727272727293E10	-8.81475210538315146E1
2.51890909090909121E10	-8.63916744874415521E1
2.51909090909090905E10	-9.50478496330711131E1
2.51927272727272733E10	-9.44000885530714662E1
2.51945454545454606E10	-9.73211332733782974E1
2.51963636363636301E10	-9.89281859954246023E1
2.51981818181818173E10	-8.72445338464027387E1
2.52000000000000002E10	-8.36457781163347924E1
2.52018181818181786E10	-9.26709947020996694E1
2.52036363636363703E10	-9.04753592408523488E1
2.52054545454545398E10	-9.94557379954251708E1
2.52072727272727315E10	-1.01375867671010811E2
2.52090909090909099E10	-1.00758392805991304E2
2.52109090909090927E10	-9.22917986429125037E1
2.52127272727272711E10	-9.64083770501917137E1
2.52145454545454584E10	-8.46244971457878492E1
2.52163636363636323E10	-9.16970743530589161E1
2.52181818181818196E10	-8.74209628256865834E1
2.52199999999999980E10	-1.00327095787595599E2
2.52218181818181808E10	-9.15526207171809503E1
2.52236363636363681E10	-8.84832283036746681E1
2.52254545454545376E10	-9.03554534960721156E1
2.52272727272727293E10	-1.10249246107441978E2
2.52290909090909121E10	-8.94416796460784091E1
2.52309090909090905E10	-9.52157145483922918E1
2.52327272727272689E10	-9.88714718030884754E1
2.52345454545454606E10	-9.01418432034917494E1
2.52363636363636301E10	-8.57809115413642154E1
2.52381818181818218E10	-8.19520356178631637E1
2.52400000000000002E10	-8.94499934582598577E1
2.52418181818181830E10	-1.05718060716001938E2
2.52436363636363703E10	-9.82272555133495651E1
2.52454545454545443E10	-1.00368298981087878E2
2.52472727272727315E10	-8.61275232442033989E1
2.52490909090909099E10	-9.16094858065438622E1
2.52509090909090883E10	-8.72762784755327559E1
2.52527272727272711E10	-8.98702200705642618E1
2.52545454545454584E10	-9.72433880713764154E1
2.52563636363636324E10	-9.81434591761308539E1
2.52581818181818196E10	-9.24805847921528645E1
2.52599999999999980E10	-9.32429074649081358E1
2.52618181818181764E10	-9.41762999480318186E1
2.52636363636363681E10	-9.13457089848692227E1
2.52654545454545376E10	-8.45776177771962701E1
2.52672727272727293E10	-9.81888211084072893E1
2.52690909090909077E10	-9.13700795775678287E1
2.52709090909090905E10	-9.07376972491577938E1
2.52727272727272689E10	-8.62638417916184430E1
2.52745454545454606E10	-1.00975555625691049E2
2.52763636363636301E10	-9.81274504172922946E1
2.52781818181818219E10	-9.29525035561569979E1
2.52800000000000002E10	-1.07560511468971653E2
2.52818181818181831E10	-9.31081931309940813E1
2.52836363636363703E10	-9.11828663445914600E1
2.52854545454545399E10	-8.57734657894499364E1
2.52872727272727271E10	-9.44320468950346559E1
2.52890909090909100E10	-8.89970823607674433E1
2.52909090909090883E10	-9.23631815966934333E1
2.52927272727272712E10	-9.30849633112858754E1
2.52945454545454584E10	-9.20913490332843665E1
2.52963636363636279E10	-9.07521539017424317E1
2.52981818181818197E10	-8.90077639324035452E1
2.53000000000000025E10	-9.41833499352977377E1
2.53018181818181809E10	-9.08868000015785604E1
2.53036363636363681E10	-9.05656976527524016E1
2.53054545454545421E10	-9.17165347701298650E1
2.53072727272727294E10	-9.58436035623418903E1
2.53090909090909078E10	-8.95445945720879166E1
2.53109090909090906E10	-8.51919365718343435E1
2.53127272727272690E10	-8.68619929707118565E1
2.53145454545454607E10	-8.67092458432828117E1
2.53163636363636302E10	-8.97685085743945343E1
2.53181818181818219E10	-8.79726769584859447E1
2.53200000000000003E10	-1.02579970335130133E2
2.53218181818181787E10	-9.64020750699999418E1
2.53236363636363704E10	-9.86872856947903543E1
2.53254545454545399E10	-9.70243299559286498E1
2.53272727272727316E10	-9.08471485888455810E1
2.53290909090909100E10	-9.18768877701159425E1
2.53309090909090928E10	-9.30460415820526876E1
2.53327272727272712E10	-1.05707263334671531E2
2.53345454545454585E10	-8.95096951346894620E1
2.53363636363636324E10	-9.48925430854678886E1
2.53381818181818197E10	-1.03971718823383474E2
2.53399999999999981E10	-9.56735337905930017E1
2.53418181818181809E10	-1.03911877644886252E2
2.53436363636363726E10	-9.65549636272090517E1
2.53454545454545421E10	-8.91294787427377244E1
2.53472727272727294E10	-9.20829734583695192E1
2.53490909090909122E10	-9.42529565228334754E1
2.53509090909090906E10	-9.57387382446262336E1
2.53527272727272734E10	-8.98104577571074003E1
2.53545454545454607E10	-8.69733991474514490E1
2.53563636363636302E10	-8.80062161342742044E1
2.53581818181818175E10	-8.42393041695148881E1
2.53600000000000003E10	-8.91409214025078711E1
2.53618181818181787E10	-8.81956232400099971E1
2.53636363636363660E10	-9.53248830593944518E1
2.53654545454545399E10	-9.55679324650706086E1
2.53672727272727272E10	-8.89100001505711290E1
2.53690909090909056E10	-9.27195650356478573E1
2.53709090909090884E10	-9.55905259537955310E1
2.53727272727272668E10	-1.02902243167388896E2
2.53745454545454630E10	-8.67958628332683446E1
2.53763636363636280E10	-8.64326249083407561E1
2.53781818181818242E10	-9.50413623660762497E1
2.53800000000000026E10	-8.70145266087646085E1
2.53818181818181809E10	-8.63310409369442766E1
2.53836363636363682E10	-8.71650220950222732E1
2.53854545454545422E10	-1.00535776797203691E2
2.53872727272727294E10	-9.05484340472943749E1
2.53890909090909123E10	-9.18499806729935209E1
2.53909090909090907E10	-1.11407575418932736E2
2.53927272727272690E10	-1.03330377293300302E2
2.53945454545454563E10	-9.16924465644454934E1
2.53963636363636303E10	-8.87322862577425120E1
