#Parameters = {D_0=150; D_1=160; D_2=170; D_3=180; D_4=190; D_5=200; D_6=210; R_0=4; R_horn=100; T=1; a=7.112; a_horn=21; b=3.556; b_horn=15.5; d=22.5756394418; d2=14.198361494191; delta=0.005; f=200; f2=350; h_back=8; h_back_2=20; h_back_back=20; h_horn=213.67261386413; h_horn2=43; l_la=650; l_plasma=200; n=1.9493588689618; ne0=218400000000; ne1=176000000000; ne2=168000000000; ne3=155000000000; ne4=134000000000; ne5=102000000000; ne6=29300000000; ve1=1500000000; xx=8.903025577672; y_move=0; yy=8.903025577672; z_move=20}
#"Frequency / GHz"	"28.98E9_1.5E9 [Real Part]"
#---------------------------------------------
23.809999465942	6.7183450977731
23.829999923706	7.2635536953608
23.850000381470	8.1238620204178
23.869999885559	9.0109426361023
23.909999847412	8.1158196963718
23.930000305176	7.2521880841414
23.949999809265	6.7040348249330
23.969999313354	6.3832208134226
23.989999771118	6.1964069594575
24.010000228882	6.0882774365469
24.030000686646	6.0308729100895
24.069999694824	6.0253793934355
24.090000152588	6.0776310672061
24.110000610352	6.1818683807836
24.130000114441	6.3695218128525
24.149999618530	6.7022510874455
24.170000076294	7.3023978989662
24.210000038147	9.3342596850881
24.229999542236	9.1852787302725
24.250000000000	8.0717058142016
24.270000457764	7.1473572315314
24.289999961853	6.6081160352192
24.309999465942	6.3054828012200
24.350000381470	6.0348961022402
24.369999885559	5.9843793296597
24.389999389648	5.9677567723887
24.409999847412	5.9836474810463
